codigo_ncm;partida;categoria
8471.60.90.000;8471;Computadoras: notebooks, desktops, tablets, unidades de disco, teclados y mouse
8471.70.10.000;8471;Computadoras: notebooks, desktops, tablets, unidades de disco, teclados y mouse
8471.70.40.000;8471;Computadoras: notebooks, desktops, tablets, unidades de disco, teclados y mouse
8471.70.90.000;8471;Computadoras: notebooks, desktops, tablets, unidades de disco, teclados y mouse
8471.80.00.000;8471;Computadoras: notebooks, desktops, tablets, unidades de disco, teclados y mouse
8471.90.11.000;8471;Computadoras: notebooks, desktops, tablets, unidades de disco, teclados y mouse
8471.90.12.000;8471;Computadoras: notebooks, desktops, tablets, unidades de disco, teclados y mouse
8471.90.14.000;8471;Computadoras: notebooks, desktops, tablets, unidades de disco, teclados y mouse
8471.90.19.000;8471;Computadoras: notebooks, desktops, tablets, unidades de disco, teclados y mouse
8471.90.90.000;8471;Computadoras: notebooks, desktops, tablets, unidades de disco, teclados y mouse
8472.90.10.000;8472;Demás máquinas de oficina (cajeros automáticos)
8473.30.11.000;8473;Partes y accesorios de computación (placas, gabinetes)
8473.30.19.000;8473;Partes y accesorios de computación (placas, gabinetes)
8473.30.41.000;8473;Partes y accesorios de computación (placas, gabinetes)
8473.30.42.000;8473;Partes y accesorios de computación (placas, gabinetes)
8473.30.49.000;8473;Partes y accesorios de computación (placas, gabinetes)
8473.30.90.000;8473;Partes y accesorios de computación (placas, gabinetes)
8473.40.10.000;8473;Partes y accesorios de computación (placas, gabinetes)
8473.40.70.000;8473;Partes y accesorios de computación (placas, gabinetes)
8473.40.90.000;8473;Partes y accesorios de computación (placas, gabinetes)
8473.50.90.000;8473;Partes y accesorios de computación (placas, gabinetes)
8504.31.11.000;8504;Transformadores, cargadores, rectificadores y UPS
8504.31.19.000;8504;Transformadores, cargadores, rectificadores y UPS
8504.31.99.000;8504;Transformadores, cargadores, rectificadores y UPS
8504.40.10.000;8504;Transformadores, cargadores, rectificadores y UPS
8504.40.40.000;8504;Transformadores, cargadores, rectificadores y UPS
8506.10.12.000;8506;Pilas
8506.10.19.000;8506;Pilas
8506.10.20.000;8506;Pilas
8507.50.90.000;8507;Baterías y acumuladores (powerbanks litio)
8507.60.00.000;8507;Baterías y acumuladores (powerbanks litio)
8507.80.00.000;8507;Baterías y acumuladores (powerbanks litio)
8508.11.00.000;8508;Aspiradoras
8508.19.00.000;8508;Aspiradoras
8509.40.10.000;8509;Electrodomésticos con motor (licuadoras, batidoras, procesadoras)
8509.40.20.000;8509;Electrodomésticos con motor (licuadoras, batidoras, procesadoras)
8509.40.30.000;8509;Electrodomésticos con motor (licuadoras, batidoras, procesadoras)
8509.40.40.000;8509;Electrodomésticos con motor (licuadoras, batidoras, procesadoras)
8509.40.50.000;8509;Electrodomésticos con motor (licuadoras, batidoras, procesadoras)
8509.40.90.000;8509;Electrodomésticos con motor (licuadoras, batidoras, procesadoras)
8509.80.90.000;8509;Electrodomésticos con motor (licuadoras, batidoras, procesadoras)
8510.10.00.000;8510;Afeitadoras y cortadoras de pelo eléctricas
8510.30.00.000;8510;Afeitadoras y cortadoras de pelo eléctricas
8510.90.11.000;8510;Afeitadoras y cortadoras de pelo eléctricas
8513.10.10.000;8513;Linternas
8513.10.90.000;8513;Linternas
8516.29.00.000;8516;Pavas, calentadores, planchas, secadores de pelo, hornos eléctricos y microondas
8516.31.00.000;8516;Pavas, calentadores, planchas, secadores de pelo, hornos eléctricos y microondas
8516.32.00.000;8516;Pavas, calentadores, planchas, secadores de pelo, hornos eléctricos y microondas
8516.40.00.000;8516;Pavas, calentadores, planchas, secadores de pelo, hornos eléctricos y microondas
8516.50.00.000;8516;Pavas, calentadores, planchas, secadores de pelo, hornos eléctricos y microondas
8516.60.00.000;8516;Pavas, calentadores, planchas, secadores de pelo, hornos eléctricos y microondas
8516.71.00.000;8516;Pavas, calentadores, planchas, secadores de pelo, hornos eléctricos y microondas
8516.72.00.000;8516;Pavas, calentadores, planchas, secadores de pelo, hornos eléctricos y microondas
8516.79.20.000;8516;Pavas, calentadores, planchas, secadores de pelo, hornos eléctricos y microondas
8516.79.90.000;8516;Pavas, calentadores, planchas, secadores de pelo, hornos eléctricos y microondas
8517.11.00.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.13.00.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.14.10.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.14.31.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.14.39.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.14.90.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.18.30.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.18.90.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.61.30.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.61.49.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.61.99.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.15.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.29.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.34.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.39.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.41.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.49.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.52.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.54.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.55.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.56.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.59.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.62.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.72.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.77.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.79.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.94.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.62.99.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.69.00.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.71.90.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8517.79.00.000;8517;Smartphones, teléfonos, routers, módems y equipos de red
8518.10.90.000;8518;Micrófonos, parlantes, auriculares y amplificadores
8518.21.00.000;8518;Micrófonos, parlantes, auriculares y amplificadores
8518.22.00.000;8518;Micrófonos, parlantes, auriculares y amplificadores
8518.29.90.000;8518;Micrófonos, parlantes, auriculares y amplificadores
8518.30.00.000;8518;Micrófonos, parlantes, auriculares y amplificadores
8518.40.00.000;8518;Micrófonos, parlantes, auriculares y amplificadores
8518.50.00.000;8518;Micrófonos, parlantes, auriculares y amplificadores
8519.81.10.000;8519;Equipos de grabación y reproducción de sonido (parlantes portátiles)
8519.81.90.000;8519;Equipos de grabación y reproducción de sonido (parlantes portátiles)
8521.90.00.000;8521;Reproductores de video
8523.29.90.000;8523;Pendrives, tarjetas de memoria, discos y soportes
8523.49.20.000;8523;Pendrives, tarjetas de memoria, discos y soportes
8523.49.90.000;8523;Pendrives, tarjetas de memoria, discos y soportes
8523.51.10.000;8523;Pendrives, tarjetas de memoria, discos y soportes
8523.51.90.000;8523;Pendrives, tarjetas de memoria, discos y soportes
8523.52.10.000;8523;Pendrives, tarjetas de memoria, discos y soportes
8523.52.90.000;8523;Pendrives, tarjetas de memoria, discos y soportes
8525.50.29.000;8525;Cámaras digitales, webcams, videocámaras y transmisores
8525.60.20.000;8525;Cámaras digitales, webcams, videocámaras y transmisores
8525.60.90.000;8525;Cámaras digitales, webcams, videocámaras y transmisores
8525.89.19.000;8525;Cámaras digitales, webcams, videocámaras y transmisores
8525.89.29.000;8525;Cámaras digitales, webcams, videocámaras y transmisores
8526.92.00.000;8526;GPS y controles remotos de radio
8527.13.00.000;8527;Radios y receptores
8527.19.00.000;8527;Radios y receptores
8527.21.00.000;8527;Radios y receptores
8527.91.00.000;8527;Radios y receptores
8527.99.10.000;8527;Radios y receptores
8527.99.90.000;8527;Radios y receptores
8528.49.90.000;8528;Monitores, proyectores, Smart TVs y TV boxes
8528.52.00.000;8528;Monitores, proyectores, Smart TVs y TV boxes
8528.59.00.000;8528;Monitores, proyectores, Smart TVs y TV boxes
8528.62.00.000;8528;Monitores, proyectores, Smart TVs y TV boxes
8528.69.90.000;8528;Monitores, proyectores, Smart TVs y TV boxes
8528.71.19.000;8528;Monitores, proyectores, Smart TVs y TV boxes
8528.71.90.000;8528;Monitores, proyectores, Smart TVs y TV boxes
8528.72.00.000;8528;Monitores, proyectores, Smart TVs y TV boxes
8529.10.20.000;8529;Antenas, controles y partes de TV
8529.10.90.000;8529;Antenas, controles y partes de TV
8529.90.20.000;8529;Antenas, controles y partes de TV
8529.90.90.000;8529;Antenas, controles y partes de TV
8531.10.10.000;8531;Alarmas, timbres y porteros eléctricos
8531.10.90.000;8531;Alarmas, timbres y porteros eléctricos
8531.20.00.000;8531;Alarmas, timbres y porteros eléctricos
8531.80.00.000;8531;Alarmas, timbres y porteros eléctricos
8531.90.00.000;8531;Alarmas, timbres y porteros eléctricos
8534.00.19.000;8534;Circuitos impresos
8534.00.59.000;8534;Circuitos impresos
8536.50.90.000;8536;Interruptores, enchufes y tomas
8536.90.90.000;8536;Interruptores, enchufes y tomas
8537.10.19.000;8537;Tableros y consolas de control eléctrico
8537.10.20.000;8537;Tableros y consolas de control eléctrico
8537.10.30.000;8537;Tableros y consolas de control eléctrico
8538.90.10.000;8538;Partes de tableros eléctricos
8539.31.19.000;8539;Lámparas y focos (incl. LED)
8539.31.32.000;8539;Lámparas y focos (incl. LED)
8539.31.39.000;8539;Lámparas y focos (incl. LED)
8539.32.20.000;8539;Lámparas y focos (incl. LED)
8539.32.30.000;8539;Lámparas y focos (incl. LED)
8539.39.90.000;8539;Lámparas y focos (incl. LED)
8539.51.00.000;8539;Lámparas y focos (incl. LED)
8541.41.22.000;8541;Diodos, transistores, LEDs y paneles solares
8541.43.00.000;8541;Diodos, transistores, LEDs y paneles solares
8541.90.90.000;8541;Diodos, transistores, LEDs y paneles solares
8542.31.20.000;8542;Circuitos integrados (procesadores, memorias)
8542.31.90.000;8542;Circuitos integrados (procesadores, memorias)
8542.32.21.000;8542;Circuitos integrados (procesadores, memorias)
8542.32.99.000;8542;Circuitos integrados (procesadores, memorias)
8543.70.13.000;8543;Demás aparatos eléctricos con función propia
8543.70.19.000;8543;Demás aparatos eléctricos con función propia
8543.70.35.000;8543;Demás aparatos eléctricos con función propia
8543.70.39.000;8543;Demás aparatos eléctricos con función propia
8543.70.92.000;8543;Demás aparatos eléctricos con función propia
8544.20.00.000;8544;Cables eléctricos, USB y coaxiales
8544.42.00.000;8544;Cables eléctricos, USB y coaxiales
8544.70.10.000;8544;Cables eléctricos, USB y coaxiales
8544.70.30.000;8544;Cables eléctricos, USB y coaxiales
8544.70.90.000;8544;Cables eléctricos, USB y coaxiales
8714.94.90.000;8714;Partes y accesorios de bicicletas
8714.99.10.000;8714;Partes y accesorios de bicicletas
8715.00.00.000;8715;Cochecitos de bebé
9001.10.20.000;9001;Lentes de contacto y lentes sin montar
9001.30.00.000;9001;Lentes de contacto y lentes sin montar
9001.50.00.000;9001;Lentes de contacto y lentes sin montar
9002.11.11.000;9002;Objetivos y lentes montados para cámaras
9003.11.00.000;9003;Monturas y armazones de anteojos
9003.19.10.000;9003;Monturas y armazones de anteojos
9004.10.00.000;9004;Anteojos, incluidos los de sol
9006.61.00.000;9006;Flashes fotográficos
9017.80.10.000;9017;Instrumentos de dibujo y medición (cintas métricas)
9023.00.00.000;9023;Modelos y aparatos de demostración
9026.10.11.000;9026;Medidores de caudal y presión
9028.30.31.000;9028;Contadores de electricidad/gas/agua
9030.33.19.000;9030;Multímetros y osciloscopios
9030.40.90.000;9030;Multímetros y osciloscopios
9030.89.20.000;9030;Multímetros y osciloscopios
9030.89.90.000;9030;Multímetros y osciloscopios
9031.80.40.000;9031;Demás instrumentos de medida
9032.89.11.000;9032;Termostatos y reguladores automáticos
9032.89.29.000;9032;Termostatos y reguladores automáticos
9032.89.81.000;9032;Termostatos y reguladores automáticos
9032.89.82.000;9032;Termostatos y reguladores automáticos
9032.89.89.000;9032;Termostatos y reguladores automáticos
9032.90.10.000;9032;Termostatos y reguladores automáticos
9032.90.99.000;9032;Termostatos y reguladores automáticos
9102.11.10.000;9102;Relojes de pulsera
9102.11.90.000;9102;Relojes de pulsera
9102.12.10.000;9102;Relojes de pulsera
9102.12.20.000;9102;Relojes de pulsera
9102.12.90.000;9102;Relojes de pulsera
9102.19.00.000;9102;Relojes de pulsera
9102.21.00.000;9102;Relojes de pulsera
9105.21.00.000;9105;Despertadores y relojes de pared
9105.29.00.000;9105;Despertadores y relojes de pared
9207.10.90.000;9207;Instrumentos musicales eléctricos (teclados, guitarras)
9207.90.10.000;9207;Instrumentos musicales eléctricos (teclados, guitarras)
9401.80.00.000;9401;Sillas y asientos
9403.70.00.000;9403;Muebles de plástico y demás muebles
9403.89.00.000;9403;Muebles de plástico y demás muebles
9405.11.10.000;9405;Lámparas y artefactos de iluminación
9405.11.90.900;9405;Lámparas y artefactos de iluminación
9405.19.90.900;9405;Lámparas y artefactos de iluminación
9405.21.00.000;9405;Lámparas y artefactos de iluminación
9405.29.00.000;9405;Lámparas y artefactos de iluminación
9405.31.00.000;9405;Lámparas y artefactos de iluminación
9405.39.00.000;9405;Lámparas y artefactos de iluminación
9405.41.00.900;9405;Lámparas y artefactos de iluminación
9405.42.00.900;9405;Lámparas y artefactos de iluminación
9405.49.00.900;9405;Lámparas y artefactos de iluminación
9405.50.00.000;9405;Lámparas y artefactos de iluminación
9405.99.00.000;9405;Lámparas y artefactos de iluminación
9503.00.10.000;9503;Juguetes (todos: muñecas, bloques, radio control)
